Player,Season,Pos,Age,90s,Gls,Shots,Shot_ontarget,PK,PKatt,xG,npxG,Pass_Cmp,pass_Att,pass_Cmp%,pass_PrgDist,Ast,xAG,xA,Tkl,Tkl_won,Blocks,Int,Touches,Take_ons_Att,Take_ons_Succ,Carries,Carries_PrgDist,PPM,Mins_Played
Alisson,21-22,GK,28,36,0,0,0,0,0,0,0,1214,1388,87.5,18286,1,0.2,0,3,1,1,0,1469,1,1,873,2223,2.44,"3,240"
Virgil van Dijk,21-22,DF,30,34,3,35,14,0,0,2,2,2376,2655,89.5,18162,1,1.5,1,16,10,21,31,2894,8,6,1717,3379,2.41,"3,060"
Trent Alexander-Arnold,21-22,DF,22,31.7,2,51,15,0,0,2.4,2.4,2039,2757,74,15683,12,12,13,40,23,22,43,3036,39,19,1504,2824,2.38,"2,853"
Sadio Mané,21-22,FW,29,31.3,16,98,37,0,0,17.2,17.2,818,1100,74.4,2748,2,5.2,4.4,33,20,30,8,1492,77,47,1027,2663,2.35,"2,819"
Joël Matip,21-22,DF,29,31,3,35,7,0,0,3.4,3.4,2074,2344,88.5,13117,3,1.3,2,47,34,26,44,2651,10,9,1612,7174,2.48,"2,790"
Mohamed Salah,21-22,FW,29,30.7,23,133,49,5,6,22.7,17.8,875,1136,77,3063,13,10,7.4,17,8,7,6,1552,124,53,1030,2909,2.37,"2,762"
Jordan Henderson,21-22,MF,31,28.9,2,31,6,0,0,1.5,1.5,1886,2246,84,8574,5,3.5,3.7,36,20,25,23,2444,25,16,1405,2738,2.43,"2,597"
Andrew Robertson,21-22,DF,27,28.2,3,18,8,0,0,1.4,1.4,1885,2350,80.2,10280,10,5.6,5.5,36,21,24,23,2556,23,13,1436,4330,2.41,"2,537"
Diogo Jota,21-22,FW,24,26.3,15,90,32,0,0,16.3,16.3,559,770,72.6,1928,4,5.8,3.5,39,18,19,6,1097,69,27,649,2029,2.37,"2,364"
Fabinho,21-22,MF,27,25.7,5,19,7,2,2,3.9,2.4,1350,1550,87.1,5712,1,1.3,1.9,46,25,33,39,1788,15,11,942,1874,2.38,"2,314"
Thiago Alcántara,21-22,MF,30,17,1,25,6,0,0,1.9,1.9,1340,1508,88.9,7150,4,2.3,1.7,48,29,22,26,1700,32,20,1039,2393,2.64,"1,534"
Naby Keïta,21-22,MF,26,13,3,26,7,0,0,2.2,2.2,643,757,84.9,2501,1,1.9,2.1,46,23,33,14,933,24,15,514,1592,2.43,"1,173"
Ibrahima Konaté,21-22,DF,22,11,0,4,0,0,0,0.2,0.2,663,754,87.9,5092,0,0,0.2,16,10,13,16,855,3,2,497,1467,2.27,990
Luis Díaz,21-22,FW,24,10.6,4,38,13,0,0,3.6,3.6,392,455,86.2,1093,3,2.6,1.5,9,7,7,4,595,49,31,399,1293,2.69,958
Roberto Firmino,21-22,FW,29,11,5,30,11,0,0,4.7,4.7,390,501,77.8,1178,4,1.7,1.7,23,14,20,4,664,33,17,370,883,2.25,990
Curtis Jones,21-22,MF,20,9.5,1,20,7,0,0,0.9,0.9,538,599,89.8,1811,1,0.6,0.5,11,9,4,6,685,33,25,476,1152,2.47,851
Kostas Tsimikas,21-22,DF,25,9.7,0,8,2,0,0,0.6,0.6,508,705,72.1,2744,2,2.7,1.9,27,12,6,10,809,20,8,430,1422,2.15,877
James Milner,21-22,"MF,DF",35,9.5,0,10,2,0,0,0.4,0.4,646,777,83.1,3500,1,2.2,1.5,28,16,19,17,903,6,2,492,798,2.63,853
Alex Oxlade-Chamberlain,21-22,"MF,FW",27,8.7,2,21,3,0,0,1.3,1.3,316,407,77.6,1406,1,1.1,0.8,15,11,12,6,508,17,12,319,1033,2.41,785
Harvey Elliott,21-22,MF,18,3.8,0,10,1,0,0,0.8,0.8,209,256,81.6,789,0,0.6,0.4,3,0,8,4,302,9,2,174,486,2.67,346
Joe Gomez,21-22,DF,24,3.7,0,1,0,0,0,0,0,230,292,78.8,1139,1,0.8,0.5,10,6,4,5,332,8,4,163,338,2.5,331
Caoimhín Kelleher,21-22,GK,22,2,0,0,0,0,0,0,0,83,91,91.2,806,0,0,0,1,1,0,0,95,0,0,64,126,2,180
Takumi Minamino,21-22,"FW,MF",26,2.1,3,7,4,0,0,1.6,1.6,58,69,84.1,146,0,0.5,0.6,3,2,2,1,93,5,1,58,92,2.55,186
Tyler Morton,21-22,MF,18,0.7,0,0,0,0,0,0,0,30,35,85.7,116,0,0,0,0,0,0,3,41,0,0,24,12,2,66
Divock Origi,21-22,FW,26,1.5,3,10,5,0,0,1.5,1.5,28,37,75.7,47,0,0,0.1,0,0,1,1,64,3,1,38,52,2.57,133
Kaide Gordon,21-22,FW,16,0.1,0,1,1,0,0,0.4,0.4,4,4,100,0,0,0,0,1,0,0,0,7,1,0,3,14,3,9
Neco Williams,21-22,DF,20,0.1,0,0,0,0,0,0,0,9,9,100,16,1,0.7,0.5,0,0,0,0,10,1,1,7,29,3,8
Andrew Robertson,20-21,DF,26,37.6,1,1,19,0,0,1.5,1.5,2624,3303,79.4,12970,7,6.6,5.9,18,9,39,21,3588,53,28,2146,6389,1.82,"3,383"
Mohamed Salah,20-21,FW,28,34.2,22,120,46,6,6,19.3,14.6,1067,1302,82,3013,5,6.2,7,56,33,10,1,1695,84,36,1185,3034,1.78,"3,078"
Trent Alexander-Arnold,20-21,DF,21,33.7,2,55,12,0,0,2.6,2.6,2245,3015,74.5,15754,7,8.6,7.5,23,7,24,49,3318,61,32,1992,5442,1.81,"3,031"
Georginio Wijnaldum,20-21,MF,29,32.7,2,31,9,0,0,2.6,2.6,1644,1778,92.5,5104,0,1.4,1.9,3,2,18,26,2005,51,34,1350,3608,1.82,"2,941"
Alisson,20-21,GK,27,33,1,1,1,0,0,0.1,0.1,1000,1157,86.4,14023,0,0,0,33,15,0,2,1239,2,2,709,1763,1.88,"2,970"
Roberto Firmino,20-21,FW,28,31.5,9,83,32,0,0,11.3,11.3,1065,1333,79.9,3355,7,5.6,4.6,48,30,42,11,1663,83,59,989,2379,1.83,"2,838"
